,title,overview,vote_average,processed_overview
3126,The Battle of Sutjeska,the film tells the story of the battle of sutjeska which occurred in nazi-occupied bosnia and herzegovina in 1943.,5.0,film tell story battle sutjeska occurred nazi-occupied bosnia herzegovina 1943 .
3127,Carnage: Swallowing the Past,"it's 2067, the uk is vegan, but older generations are suffering the guilt of their carnivorous past. simon amstell asks us to forgive them for the horrors of what they swallowed.",8.3,"'s 2067 , uk vegan , older generation suffering guilt carnivorous past . simon amstell asks u forgive horror swallowed ."
3128,Shield for Murder,a crooked detective masterminds a robbery then fights to keep his money.,7.0,crooked detective mastermind robbery fight keep money .
3129,Adoration,"director atom egoyan explores the concept of cyberspace as a place for redemption in this drama about an adolescent boy named simon who reinvents his life on the internet. before long, simon's deeply personal journey provokes strong reactions from around the globe.",5.9,"director atom egoyan explores concept cyberspace place redemption drama adolescent boy named simon reinvents life internet . long , simon 's deeply personal journey provokes strong reaction around globe ."
3130,Dream/Killer,"in 2005, 20-year-old ryan ferguson was convicted and sentenced to 40 years in prison for a crime he did not commit. dream/killer is the story of how his father bill embarked on 10-year campaign to prove ryan’s innocence. the film is chock-full of incredible characters. from the questionable district attorney kevin crane, and the highly-confused witness chuck erickson, to the high-powered chicago attorney kathleen zellner, the doc depicts both a highly flawed justice system, as well as one that can work brilliantly.",7.3,"2005 , 20-year-old ryan ferguson convicted sentenced 40 year prison crime commit . dream/killer story father bill embarked 10-year campaign prove ryan ’ innocence . film chock-full incredible character . questionable district attorney kevin crane , highly-confused witness chuck erickson , high-powered chicago attorney kathleen zellner , doc depicts highly flawed justice system , well one work brilliantly ."
3131,American Burger,"a bus load of american students, all jocks, cheerleaders and nerds, are on a culture trip in europe when they stumble upon a mysterious hamburger stand in the deep european woods, selling 100% american burgers. a visit to the burger factory behind the stand, renders them trapped in this unknown territory, and they are about to realize that european notion of american hamburgers is terrifyingly different from what they're used to... the road trip descends into a battle for survival as americans are treated as cows. who's going to end up in the slaughterhouse? will the nerds ever get to score with the cheerleaders? cliques are formed... strategies are made... and in the midst of it all they learn a thing or two about friendship, survival, consumerism, horny teenage urges and, perhaps most importantly, to never visit a fast-food restaurant ever again. and the nerds somehow end up having the... best. summer. ever.",4.3,"bus load american student , jock , cheerleader nerd , culture trip europe stumble upon mysterious hamburger stand deep european wood , selling 100 % american burger . visit burger factory behind stand , render trapped unknown territory , realize european notion american hamburger terrifyingly different 're used ... road trip descends battle survival american treated cow . 's going end slaughterhouse ? nerd ever get score cheerleader ? clique formed ... strategy made ... midst learn thing two friendship , survival , consumerism , horny teenage urge , perhaps importantly , never visit fast-food restaurant ever . nerd somehow end ... best . summer . ever ."
3132,Freddy vs. Jason,"evil dream-demon freddy krueger devises a plan to manipulate the unstoppable jason vorhees into hacking up the teenagers of elm street in an effort to make people remember the name freddy krueger, thus freeing him from limbo.",5.8,"evil dream-demon freddy krueger devise plan manipulate unstoppable jason vorhees hacking teenager elm street effort make people remember name freddy krueger , thus freeing limbo ."
3133,Light of Day,"fox and jett play a brother and sister who are lead performers in a rock band, the barbusters, in cleveland, ohio. the sister, patti rasnick, is an unmarried mother and has a troubled relationship with her own mother, who is deeply religious. estranged from her parents and struggling to make ends meet, patti decides to dive headlong into a carefree rock music lifestyle. the brother, joe rasnick, pulls away from rock music to provide some stability for his young nephew. it takes a family crisis to bring patti back home and force her to face the prickly past with her mother.",5.4,"fox jett play brother sister lead performer rock band , barbusters , cleveland , ohio . sister , patti rasnick , unmarried mother troubled relationship mother , deeply religious . estranged parent struggling make end meet , patti decides dive headlong carefree rock music lifestyle . brother , joe rasnick , pull away rock music provide stability young nephew . take family crisis bring patti back home force face prickly past mother ."
3134,La Femme Nikita,"a beautiful felon, sentenced to life in prison for the murder of a policeman, is given a second chance - as a secret political assassin controlled by the government.",7.0,"beautiful felon , sentenced life prison murder policeman , given second chance - secret political assassin controlled government ."
3135,The Last Rites of Joe May,"now in his sixties, joe is released from the hospital after a long battle with pneumonia and forced to confront the harsh reality of his legacy: everyone he knew had assumed he was dead, and life had gone on around him without missing a beat. returning to his old neighborhood in chicago's ""patch"" district, he finds his car gone, all his worldly possessions pawned by his landlord, and the apartment he's lived in his entire adult life rented out to a single mother named jenny and her eight year-old daughter angelina.",6.1,"sixty , joe released hospital long battle pneumonia forced confront harsh reality legacy : everyone knew assumed dead , life gone around without missing beat . returning old neighborhood chicago 's `` patch '' district , find car gone , worldly possession pawned landlord , apartment 's lived entire adult life rented single mother named jenny eight year-old daughter angelina ."
3136,Pororo: The Racing Adventure,"curious little penguin pororo and his friends accidentally cause an airplane to make an emergency landing in their home of pororo village. on the airplane are some turtles being shipped to northpia to deliver ice sleds, or racing ice cars. nevertheless, pororo and his friends believe that the turtles are racers, and the turtles end up giving the gang at pororo village some lessons and passing on the championship spirit. in the end, pororo and his friends follow the turtles to northpia to participate in the race. upon arriving at icily beautiful northpia's race, pororo and his friends wind up unlikely front-runners, ahead of the polar bears, and make it to the finals. however, a more complicated course awaits pororo and his friends- as does their strongest adversary yet.",6.0,"curious little penguin pororo friend accidentally cause airplane make emergency landing home pororo village . airplane turtle shipped northpia deliver ice sled , racing ice car . nevertheless , pororo friend believe turtle racer , turtle end giving gang pororo village lesson passing championship spirit . end , pororo friend follow turtle northpia participate race . upon arriving icily beautiful northpia 's race , pororo friend wind unlikely front-runner , ahead polar bear , make final . however , complicated course awaits pororo friends- strongest adversary yet ."
3137,The Born Losers,a ruthless motorcycle gang rides into a california town and terrorizes its denizens.,5.3,ruthless motorcycle gang ride california town terrorizes denizen .
3138,Longford,"a portrait of lord longford, a tireless british campaigner whose controversial beliefs often resulted in furious political debate and personal conflict.",4.1,"portrait lord longford , tireless british campaigner whose controversial belief often resulted furious political debate personal conflict ."
3139,Love in Another Language,"onur, who has been deaf since birth, works as a librarian. his father had left him and his mother when he was seven, and onur has always blamed himself for this. although being able to speak, he has chosen to stay silent because of the pitying looks of the people around him. at his friend vedat's engagement party, he meets zeynep, who later finds out about onur's hearing disability, but is not bothered by it. she is forced by her overbearing father to leave home and gets a job at a call-center. having to speak on the phone all day to people she doesn't know, zeynep finds peace with onur, who she communicates with perfectly without speaking...",7.6,"onur , deaf since birth , work librarian . father left mother seven , onur always blamed . although able speak , chosen stay silent pitying look people around . friend vedat 's engagement party , meet zeynep , later find onur 's hearing disability , bothered . forced overbearing father leave home get job call-center . speak phone day people n't know , zeynep find peace onur , communicates perfectly without speaking ..."
3140,The Pack,"in the middle of a snowy no man's land, charlotte picks up max, a hitchhiker; they stop in a truck-stop restaurant, and when max doesn't come back from the bathroom, charlotte starts looking for him in vain. she decides to return during the night but gets kidnapped by the bartender, la spack, who turns out to be max's mother and needs to feed her kids, 'the pack', a bunch of blood lusting ghouls. charlotte now faces a terrifying reality: these ghouls are already dead... and hungry. alone and in the middle of nowhere, she quickly realizes... she's next on the menu!",3.6,"middle snowy man 's land , charlotte pick max , hitchhiker ; stop truck-stop restaurant , max n't come back bathroom , charlotte start looking vain . decides return night get kidnapped bartender , la spack , turn max 's mother need feed kid , 'the pack ' , bunch blood lusting ghoul . charlotte face terrifying reality : ghoul already dead ... hungry . alone middle nowhere , quickly realizes ... 's next menu !"
3141,Tales from the Organ Trade,a look into the underground world of trafficking human body parts.,6.8,look underground world trafficking human body part .
3142,Anamorph,"a psychological thriller based on the concept of anamorphosis, a painting technique that manipulates the laws of perspective to create two competing images on a single canvas.",5.0,"psychological thriller based concept anamorphosis , painting technique manipulates law perspective create two competing image single canvas ."
3143,Meet the Browns,"a single mother living in inner city chicago, brenda has been struggling for years to make ends meet and keep her three kids off the street.but when she's laid off with no warning, she starts losing hope for the first time - until a letter arrives announcing the death of a father she's never met.desperate for any kind of help, brenda takes her family to georgia for the funeral. but nothing could have prepared her for the browns, her father's fun-loving, crass southern clan. in a small-town world full of long afternoons and country fairs, brenda struggles to get to know the family she never knew existed...and finds a brand new romance that just might change her life.the story is adapted by tyler perry from his stage play ""meet the browns."" perry will portray madea and uncle joe in the film.",6.0,"single mother living inner city chicago , brenda struggling year make end meet keep three kid street.but 's laid warning , start losing hope first time - letter arrives announcing death father 's never met.desperate kind help , brenda take family georgia funeral . nothing could prepared brown , father 's fun-loving , crass southern clan . small-town world full long afternoon country fair , brenda struggle get know family never knew existed ... find brand new romance might change life.the story adapted tyler perry stage play `` meet brown . '' perry portray madea uncle joe film ."
3144,Blissfully Yours,the story of a love affair that begins during a picnic on the thai-burmese border.,6.3,story love affair begin picnic thai-burmese border .
3145,"Master, a Building in Copacabana","""master"" is the name of a 12-story apartment building in copacabana, rio de janeiro's neighborhood for nightlife. over the course of four weeks in 2001, eduardo coutinho's film crew rented one of the 276 apartments and used it as home base to make a film about the building's residents. we get to know the building manager, who succeeded in turning the troubled residence into a family complex within just a few years. using interviews and a few stolen moments in the corridors of the building, coutinho explores this world. most of the building's residents come from the lower middle class and are just getting by, but that's just about the only thing they have in common - so many people, so many stories, sometimes told in a self-confident tone, sometimes with averted eyes. the fact that a film crew is interested in their stories puzzles some of them. hope, fear, dreams, memories, love and loneliness all appear from behind the doors of this average apartment building.",6.6,"`` master '' name 12-story apartment building copacabana , rio de janeiro 's neighborhood nightlife . course four week 2001 , eduardo coutinho 's film crew rented one 276 apartment used home base make film building 's resident . get know building manager , succeeded turning troubled residence family complex within year . using interview stolen moment corridor building , coutinho explores world . building 's resident come lower middle class getting , 's thing common - many people , many story , sometimes told self-confident tone , sometimes averted eye . fact film crew interested story puzzle . hope , fear , dream , memory , love loneliness appear behind door average apartment building ."
3146,Diving In,"a high school diver fights his fear of heights and diving to get onto the team. he gets onto the team, only to find that he must dive the high platform in order to compete. his problems are further compounded by social issues out of the pool. his sister is being taken advantage of by the local tough-guy, and his coach writes him off as a loser. to aid in his overcoming of his phobia, he enlists in a previous women's olympic coach, whom he falls for and crosses the line between business and pleasure. during his training with the new coach, he experiences a bad diving accident and is warned not to dive in the championship. he ignores these warnings, and enters the competition.",0.0,"high school diver fight fear height diving get onto team . get onto team , find must dive high platform order compete . problem compounded social issue pool . sister taken advantage local tough-guy , coach writes loser . aid overcoming phobia , enlists previous woman 's olympic coach , fall cross line business pleasure . training new coach , experience bad diving accident warned dive championship . ignores warning , enters competition ."
3147,Dark World,"in russia, the mystic student of linguistic marina leonova is in love with her boyfriend artur. however, he blows her off and dates their schoolmate vika. when their class travels to the countryside with their professor sergey rudolfovich to research mystic spots, they meet a weird old lady in the forest and she invites them to have a meal with her. the outcast marina stays by the lake and artur seeks her to have sex. however they are surprised by their friends and the ashamed marina runs to the forest. kostya, who has a crush on marina, follows her and they get lost in the woods. marina and kostya reach an abandoned house and marina decides to explore the spot. she finds the mummified corpse of a witch holding a shield and she is possessed by a force and faints. sergey and his students find her and he call a rescue team to help marina. however, a violent elite squad in a helicopter arrives...",4.2,"russia , mystic student linguistic marina leonova love boyfriend artur . however , blow date schoolmate vika . class travel countryside professor sergey rudolfovich research mystic spot , meet weird old lady forest invite meal . outcast marina stay lake artur seek sex . however surprised friend ashamed marina run forest . kostya , crush marina , follows get lost wood . marina kostya reach abandoned house marina decides explore spot . find mummified corpse witch holding shield possessed force faint . sergey student find call rescue team help marina . however , violent elite squad helicopter arrives ..."
3148,I Can't Sleep,"ninon is a spirited hotel-manager who teaches self-defense classes to her terrified elderly neighbors. daiga, an aspiring lithuanian actress newly arrived to paris, comes to live at the hotel and becomes fascinated with the life of a mysteriously beautiful drag performer, camille. camille occasionally seeks refuge at the home of his brother, theo, a quiet antillean musician and carpenter who longs to return with his child to his native land against the wishes of his estranged wife, mona. through the medium of these characters unfolds a provocative and chilling examination of the intersecting lives of the lovers, acquaintances, family members, and victims of a serial killer. –inbaseline.com",5.0,"ninon spirited hotel-manager teach self-defense class terrified elderly neighbor . daiga , aspiring lithuanian actress newly arrived paris , come live hotel becomes fascinated life mysteriously beautiful drag performer , camille . camille occasionally seek refuge home brother , theo , quiet antillean musician carpenter longs return child native land wish estranged wife , mona . medium character unfolds provocative chilling examination intersecting life lover , acquaintance , family member , victim serial killer . –inbaseline.com"
3149,Asteria,"two astronauts attempt to plant their flag on a newly discovered planet. but first, they need to get rid of some pesky aliens whose business there is unknown.",6.7,"two astronaut attempt plant flag newly discovered planet . first , need get rid pesky alien whose business unknown ."
3150,Uncanny,"for ten years, inventor david kressen has lived in seclusion with his inventions, including adam, a robot with incredible lifelike human qualities. when reporter joy andrews is given access to their unconventional facility, she is alternately repelled and attracted to the scientist and his creation. but as adam exhibits emergent behavior of anger and jealousy towards her, she finds herself increasingly entangled in a web of deception where no one’s motives are easily decipherable.",6.2,"ten year , inventor david kressen lived seclusion invention , including adam , robot incredible lifelike human quality . reporter joy andrew given access unconventional facility , alternately repelled attracted scientist creation . adam exhibit emergent behavior anger jealousy towards , find increasingly entangled web deception one ’ motif easily decipherable ."
3151,IMAX Mummies Secrets Of The Pharohs,"the grail is not the gold, nor the books of ancient wisdom, but the 3,000 year old dna of the mummies, which may lead to a cure for malaria.",6.9,"grail gold , book ancient wisdom , 3,000 year old dna mummy , may lead cure malaria ."
3152,Fearless,"after a terrible air disaster, survivor max klein emerges a changed person. unable to connect to his former life or to wife laura, he feels godlike and invulnerable. when psychologist bill perlman is unable to help max, he has max meet another survivor, carla rodrigo, who is racked with grief and guilt since her baby died in the crash which she and max survived.",6.8,"terrible air disaster , survivor max klein emerges changed person . unable connect former life wife laura , feel godlike invulnerable . psychologist bill perlman unable help max , max meet another survivor , carla rodrigo , racked grief guilt since baby died crash max survived ."
3153,Saathiya,"aditya (vivek oberoi), a young middle class boy, meets suhani (rani mukerji), a medical student and falls head over heels for her. he pursues her relentlessly in the local trains of mumbai. suhani, brushes off aditya's overtures, because she wants to become a successful doctor and do her parents proud. however, aditya's persistence pays off and she finally accepts. but opposition from her parents forces the couple to part ways. the separation is unbearable and they get married in secret. once they are married, is where the real story begins. the bliss ends and reality sets in with misunderstandings and quarrels in tow. where do the newlyweds go from here? will aditya and suhani understand the true meaning of being a ""saathiya""?",5.6,"aditya ( vivek oberoi ) , young middle class boy , meet suhani ( rani mukerji ) , medical student fall head heel . pursues relentlessly local train mumbai . suhani , brush aditya 's overture , want become successful doctor parent proud . however , aditya 's persistence pay finally accepts . opposition parent force couple part way . separation unbearable get married secret . married , real story begin . bliss end reality set misunderstanding quarrel tow . newlywed go ? aditya suhani understand true meaning `` saathiya '' ?"
3154,Riding Alone for Thousands of Miles,"takada, a japanese fisherman has been estranged from his son for many years, but when the son is diagnosed with terminal cancer his daughter-in-law, rie, summons him to the hospital. through a series of obstacles and relationships, he is brought unexpectedly closer to both an understanding of himself and of his son.",7.3,"takada , japanese fisherman estranged son many year , son diagnosed terminal cancer daughter-in-law , rie , summons hospital . series obstacle relationship , brought unexpectedly closer understanding son ."
3155,The Boys,every monday night the boys put on skates and leave their troubled lives behind.,5.4,every monday night boy put skate leave troubled life behind .
3156,Stardust Memories,"while attending a retrospect of his work, a filmmaker recalls his life and his loves: the inspirations for his films.",6.9,"attending retrospect work , filmmaker recall life love : inspiration film ."
3157,Michael the Brave,"an epic fresco depicting the reign (1593-1601) of mihai pätrascu (better known as ""mihai viteazul"" / ""michael the brave""), the famous prince who united the three provinces: transalpine vallachia, transylvania and moldavia, into the country of romania, at the end of the 16th century (1599-1601) against the opposition of the ottoman and austrian empires, this movie features large scale battle scenes mixed with political intrigues, murderous treachery, and family drama.",8.2,"epic fresco depicting reign ( 1593-1601 ) mihai pätrascu ( better known `` mihai viteazul '' / `` michael brave '' ) , famous prince united three province : transalpine vallachia , transylvania moldavia , country romania , end 16th century ( 1599-1601 ) opposition ottoman austrian empire , movie feature large scale battle scene mixed political intrigue , murderous treachery , family drama ."
3158,Iron Man 2,"with the world now aware of his dual life as the armored superhero iron man, billionaire inventor tony stark faces pressure from the government, the press and the public to share his technology with the military. unwilling to let go of his invention, stark, with pepper potts and james 'rhodey' rhodes at his side, must forge new alliances – and confront powerful enemies.",6.6,"world aware dual life armored superhero iron man , billionaire inventor tony stark face pressure government , press public share technology military . unwilling let go invention , stark , pepper potts james 'rhodey ' rhodes side , must forge new alliance – confront powerful enemy ."
3159,The Swimmers,"after falling pregnant to perth, her boyfriend's best friend, ice commits suicide. she returns to haunt perth while tan seeks out the person who made her kill herself for his own revenge.",6.0,"falling pregnant perth , boyfriend 's best friend , ice commits suicide . return haunt perth tan seek person made kill revenge ."
3160,Ça brûle,"after falling off her horse, a teenage girl is rescued by a manly, older fireman with whom she falls in love with tragic consequences.",0.0,"falling horse , teenage girl rescued manly , older fireman fall love tragic consequence ."
3161,Sierra Leone's Refugee All Stars,"sierra leone's refugee all stars is a documentary film about the musical band of the same name composed entirely of refugees from freetown displaced to guinea during the civil war of sierra leone.  the film follows the band for three years as they are relocated between various refugee camps in guinea, and concludes with their return to freetown and the recording of their first studio album, living like a refugee.",7.3,"sierra leone 's refugee star documentary film musical band name composed entirely refugee freetown displaced guinea civil war sierra leone . film follows band three year relocated various refugee camp guinea , concludes return freetown recording first studio album , living like refugee ."
3162,To the Ends of the Earth,"from nobel laureate william golding's (lord of the flies) epic sea-voyage trilogy comes the story of an ambitious british aristocrat, humbled by the lives of his fellow passengers, as he embarks on an ocean voyage for australia where he is to be an official in the colonial government.",6.2,"nobel laureate william golding 's ( lord fly ) epic sea-voyage trilogy come story ambitious british aristocrat , humbled life fellow passenger , embarks ocean voyage australia official colonial government ."
3163,Loaf and Camouflage,"the film is the story of a group of soldiers, who, in the course of their compulsory military service in 1967 and 1968, before and during the military dictatorship in greece, are assigned to the then recently founded armed forces television. this tv station, founded for the civilian population, was run by the cinematographic unit of the army which until then had only produced propaganda films and newsreels and was responsible for entertaining the troops and other charity organizations with movie screenings. the personnel was composed mostly of soldiers, who already had experience in the film business in their civilian lives, as well as those who received their training in the army. the story may be only 95% true, but that is simply because the true story is even more absurd...",7.4,"film story group soldier , , course compulsory military service 1967 1968 , military dictatorship greece , assigned recently founded armed force television . tv station , founded civilian population , run cinematographic unit army produced propaganda film newsreel responsible entertaining troop charity organization movie screening . personnel composed mostly soldier , already experience film business civilian life , well received training army . story may 95 % true , simply true story even absurd ..."
3164,The Barretts of Wimpole Street,"elizabeth barrett's tyrannical father has forbidden any of his family to marry. nevertheless, elizabeth falls in love with the poet robert browning.",4.7,"elizabeth barrett 's tyrannical father forbidden family marry . nevertheless , elizabeth fall love poet robert browning ."
3165,Playing for Keeps,"an ambitious trio of inner-city high school grads tries to hit the big time by turning a run-down country hotel into a rock &amp; roll resort with around-the-clock music and live entertainment. standing in their way are fearful townsfolk, unscrupulous businessmen and the tax collector, all threatening to bring the curtain down on the teens' aspirations. but this is one threesome who refuses to give up on their lifelong goal without a fight — and a song.",5.0,"ambitious trio inner-city high school grad try hit big time turning run-down country hotel rock & amp ; roll resort around-the-clock music live entertainment . standing way fearful townsfolk , unscrupulous businessmen tax collector , threatening bring curtain teen ' aspiration . one threesome refuse give lifelong goal without fight — song ."
3166,Aurore,"after the sudden death of her mother, aurore gagnon is abused by her disturbed step-mother as her town remains in the silence followed by her death. based on a true story.",6.8,"sudden death mother , aurore gagnon abused disturbed step-mother town remains silence followed death . based true story ."
3167,Midnight Shadow,a confidence man pretending to be a mentalist swindles a family.,4.0,confidence man pretending mentalist swindle family .
3168,Ill Manors,"ensemble film revolving around characters living in forest gate, london. over the course of a few days, six inter-linking stories explore issues of drug use, prostitution and urban poverty.",5.9,"ensemble film revolving around character living forest gate , london . course day , six inter-linking story explore issue drug use , prostitution urban poverty ."
3169,Hand of Death,a survivor of an attack on a rebel group opposing the manchu invasion of china creates the goose fist fighting technique and tries for revenge on a traitor.,6.1,survivor attack rebel group opposing manchu invasion china creates goose fist fighting technique try revenge traitor .
3170,Summer of Goliath,"summer of goliath is a documentary/fiction hybrid that narrates various stories of the people of the town of huilotepec in rural mexico. teresa's husband has disappeared and she believes he has left her for another woman. gabino, her son, is a soldier who searches cars at the side of a country road, where very few cars pass by. he hopes one day him and alberto, his soldier partner, will get machine guns to further intimidate the people driving by. amalio, nico, and oscar are three brothers whose stories we learn through a series of interviews and reenactments. their father left them many years ago, and their mother can barely support them. oscar has gained the nickname goliath after the mysterious death of his girlfriend.",5.0,"summer goliath documentary/fiction hybrid narrates various story people town huilotepec rural mexico . teresa 's husband disappeared belief left another woman . gabino , son , soldier search car side country road , car pas . hope one day alberto , soldier partner , get machine gun intimidate people driving . amalio , nico , oscar three brother whose story learn series interview reenactment . father left many year ago , mother barely support . oscar gained nickname goliath mysterious death girlfriend ."
3171,40 Pounds of Trouble,hilarity ensues when a casino manager spends a day at disneyland with a cute but troublesome little girl.,6.5,hilarity ensues casino manager spends day disneyland cute troublesome little girl .
3172,A Serious Game,an adaptation of hjalmar söderberg's novel the serious game from 1912. the great swedish love story.,8.0,adaptation hjalmar söderberg 's novel serious game 1912. great swedish love story .
3173,The Theory of Everything,"does god exist? does science prove god's existence or provide more reasons to doubt? doug holloway (david de vos), a family man on the verge of financial and marital ruin, embarks on a journey to find his birth father, dr. eugene holland (victor lundin). dr. holland is on a mission of his own - to prove the holy grail of physics - the theory of everything - that may prove the existence of go...",0.0,"god exist ? science prove god 's existence provide reason doubt ? doug holloway ( david de vos ) , family man verge financial marital ruin , embarks journey find birth father , dr. eugene holland ( victor lundin ) . dr. holland mission - prove holy grail physic - theory everything - may prove existence go ..."
3174,Lilian's Story,"for forty years lilian singer has been locked up in a 'loony bin' by her father. her release is eventually secured by her eccentric aunt kitty and her brother, john. lilian starts to carve out a place for herself. as she explores sydney and the people who live and work around her she sees others looking for love. lilian shows us it is never too late to change your life and that even unusual choices can bring contentment.",6.0,"forty year lilian singer locked 'loony bin ' father . release eventually secured eccentric aunt kitty brother , john . lilian start carve place . explores sydney people live work around see others looking love . lilian show u never late change life even unusual choice bring contentment ."
3175,With Friends Like These...,"four small-time two-bit character actors, all close friends, are competing for same important part in the next martin scorsese mob film.",0.0,"four small-time two-bit character actor , close friend , competing important part next martin scorsese mob film ."
3176,Chatroom,"when strangers jim, eva, emily and mo meet william online in his new 'chelsea teens!' chatroom, they're completely seduced by his fast-talking, charismatic character. but beneath the surface lies a much darker truth. william is a dangerous loner, channeling all his energies into cyberspace. he's become an analyser, a calculating manipulator who finds it almost impossible to interact normallywith others in the real world, instead turning his hand to manipulating people online. when the timid jim opens up to william, it sparks a fascination that quickly turns into a dark downward spiral, with the twisted antagonist coercing the rest of the group to become pawns in his deadly game. as the cat-and-mouse situation escalates to devastating heights, can william's anti-social networking be brought to an end?",5.9,"stranger jim , eva , emily mo meet william online new 'chelsea teen ! ' chatroom , 're completely seduced fast-talking , charismatic character . beneath surface lie much darker truth . william dangerous loner , channeling energy cyberspace . 's become analyser , calculating manipulator find almost impossible interact normallywith others real world , instead turning hand manipulating people online . timid jim open william , spark fascination quickly turn dark downward spiral , twisted antagonist coercing rest group become pawn deadly game . cat-and-mouse situation escalates devastating height , william 's anti-social networking brought end ?"
3177,Rescue From Gilligan's Island,"when a decaying russian satellite crashes on the island, the professor uses a key component for a barometer. with that device, he learns that a massive wave is going to swamp the island. in desperation, the castaways lash their huts together into one structure in order to have any chance to ride the disaster out.",4.1,"decaying russian satellite crash island , professor us key component barometer . device , learns massive wave going swamp island . desperation , castaway lash hut together one structure order chance ride disaster ."
3178,The Emperor Jones,"unscrupulously ambitious ,brutus jones escapes from jail after killing a guard and, through bluff and bravado, finds himself the emperor of a caribbean island.",3.8,"unscrupulously ambitious , brutus jones escape jail killing guard , bluff bravado , find emperor caribbean island ."
3179,Arranged,arranged centers on the friendship between an orthodox jewish woman and a muslim woman who meet as first-year teachers at a public school in brooklyn. over the course of the year they learn they share much in common - not least of which is that they are both going through the process of arranged marriages.,6.0,arranged center friendship orthodox jewish woman muslim woman meet first-year teacher public school brooklyn . course year learn share much common - least going process arranged marriage .
3180,Mei and the Kittenbus,mei has an adventure with a kittenbus and her relatives. totoro appears.,7.3,mei adventure kittenbus relative . totoro appears .
3181,Rudolph's Shiny New Year,"rudolph must find happy, the baby new year, before the midnight of new year's eve.",5.3,"rudolph must find happy , baby new year , midnight new year 's eve ."
3182,Summer Wars,"kenji is your typical teenage misfit. he’s good at math, bad with girls, and spends most of his time out hanging out in the all-powerful online community known as oz. his second life is the only life he has – until the girl of his dreams, natsuki, hijacks him for a starring role as a fake fiancé at her family reunion. things only get stranger from there. a late-night email containing a cryptic mathematic riddle leads to the unleashing of a rogue ai intent on using the virtual world of oz to destroy the real world. as armageddon looms on the horizon, kenji and his new “family” set aside their differences and band together to save the worlds they inhabit in this ""near-perfect blend of social satire and science fiction.""",7.4,"kenji typical teenage misfit . ’ good math , bad girl , spends time hanging all-powerful online community known oz . second life life – girl dream , natsuki , hijack starring role fake fiancé family reunion . thing get stranger . late-night email containing cryptic mathematic riddle lead unleashing rogue ai intent using virtual world oz destroy real world . armageddon loom horizon , kenji new “ family ” set aside difference band together save world inhabit `` near-perfect blend social satire science fiction . ''"
3183,Ray,"born on a sharecropping plantation in northern florida, ray charles went blind at seven. inspired by a fiercely independent mom who insisted he make his own way, he found his calling and his gift behind a piano keyboard. touring across the southern musical circuit, the soulful singer gained a reputation and then exploded with worldwide fame when he pioneered couping gospel and country together.",7.2,"born sharecropping plantation northern florida , ray charles went blind seven . inspired fiercely independent mom insisted make way , found calling gift behind piano keyboard . touring across southern musical circuit , soulful singer gained reputation exploded worldwide fame pioneered couping gospel country together ."
3184,Manoman,"in this gleefully anarchic tour-de-force of puppetry, a primal scream class unleashes a man’s inner id - quite literally.",7.0,"gleefully anarchic tour-de-force puppetry , primal scream class unleashes man ’ inner id - quite literally ."
3185,Educating Rita,"rita, a hairdresser with a sharp wit, is married to denny, and at 26 doesn't want a baby. she wants to discover herself -son she joins the open university. dr. frank bryant is a disillusioned university professor of literature. his marriage has failed, his girlfriend is having an affair with his best friend and he can't get through the day without downing a bottle or two of whisky. he refers to himself as an appalling teacher of appalling students. what frank needs is a challenge ... along comes rita. in this hilarious and often moving drama, the story tells how two people find a now lease of life through each other.",6.3,"rita , hairdresser sharp wit , married denny , 26 n't want baby . want discover -son join open university . dr. frank bryant disillusioned university professor literature . marriage failed , girlfriend affair best friend ca n't get day without downing bottle two whisky . refers appalling teacher appalling student . frank need challenge ... along come rita . hilarious often moving drama , story tell two people find lease life ."
3186,The Shimmering Beast,"a documentary film about a group of hunters who gather annually to hunt moose near maniwaki, quebec.",5.0,"documentary film group hunter gather annually hunt moose near maniwaki , quebec ."
3187,Boyz n the Hood,boyz n the hood is the popular and successful film and social criticism from john singleton about the conditions in south central los angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,7.4,boyz n hood popular successful film social criticism john singleton condition south central los angeles teenager involved gun fight drug dealing daily basis .
3188,In the City of Sylvia,a man returns to a city to try to track down a lovely woman he met six years earlier.,6.9,man return city try track lovely woman met six year earlier .
3189,Keep the Lights On,"an emotionally and sexually charged journey through the love, addiction, and friendship of two men. documentary filmmaker erik and closeted lawyer paul meet through a casual encounter, but they find a deeper connection and become a couple. individually and together, they are risk takers—compulsive, and fueled by drugs and sex. in an almost decade-long relationship defined by highs, lows, and dysfunctional patterns, erik struggles to negotiate his own boundaries and dignity and to be true to himself.",5.4,"emotionally sexually charged journey love , addiction , friendship two men . documentary filmmaker erik closeted lawyer paul meet casual encounter , find deeper connection become couple . individually together , risk takers—compulsive , fueled drug sex . almost decade-long relationship defined high , low , dysfunctional pattern , erik struggle negotiate boundary dignity true ."
